id,genres,cast,director,writers,production_companies,producers,original_language,runtime,rating
7207,Thriller,"Matt Conaway, John Zinn, Zach Welsheimer, Sarah Conaway, Bradley Baloff, Aly Fletcher, Richardson Cisneros-Jones",Jeffrey Maccubbin,Jeffrey Maccubbin,,Jeffrey Maccubbin,en,93,4
7208,"Horror, Documentary","Dominique Othenin-Girard, Screaming Mad George, Jeff Geoffray, David Gale, Joe Augustyn, Alex Winter, Penn Jillette, Walter Josten, Teller, Jeffrey Combs, Linnea Quigley, Stuart Gordon, Brian Yuzna, Michael Berryman, Robert Crumb","Paul Bacca, Stuart S. Shapiro",,,,en,90,10
7209,Western,"May Robson, Raymond Hatton, Robert Barrat, Francis Ford, Everett Brown, Robert Cummings, Bill Roberts, Walter Brennan, Harvey Stephens, Randolph Scott, Joan Bennett",James P. Hogan,"William Wister Haines, Emerson Hough, Bertram Millhauser, Paul Sloane",Paramount,Lucien Hubbard,en,92,5.6
7210,Music,"Kirk Hammett, James Hetfield, Lars Ulrich, Robert Trujillo",,,,,en,138,8
7211,"Drama, Music","Ece Yaşar, Yiğit Kalkavan, Necmi Yapıcı, Murat Han, Aslıhan Güner, Erdal Özyağcılar, Şahine Hatipoğlu, Fahriye Kesimal, Eser Yenenler, Meral Çetinkaya, Levent Sülün, Bahar Özdoğan, Barış Murat Yağcı, Rahmi Dilligil, Engin Hepileri, Bülent Emrah Parlak, Hakan Aydın, Durul Bazan, Celil Nalçakan, Mahmut Kırmızıgül, Melisa Döngel, Gülden Avşaroğlu, Ali Sürmeli, Erkan Petekkaya, Ali Erkin Acır, Biran Damla Yılmaz, Ümit Okur, Berna Biber, Meltem Tüzüner, Toprak Kıvılcım, Onur Gözeten, Zafer Ergin, Defne Samyeli, Şebnem Bozoklu, Nursel Köse, Melek Baykal",Mahsun Kırmızıgül,Mahsun Kırmızıgül,Boyut Film,,tr,121,5.75
7212,Comedy,"Frank Bellocq, Léon Plazol, Sonia Nini, Jimmy Labeeu, Charles Berling, Sophie Mousel, Sylvie Testud, Inez Desclin, Charlie Bruneau, Jeanne Abraham",Jim Ben Soussan,"Stanislas Marsh, Marie-Pauline Denial","StudioCanal, Nexus Factory, LGM Cinéma, uMedia, D8 Films","Gilles Waterkeyn, Nadia Khamlichi, Jean-Baptiste Dupont, Cyril Colbeau-Justin, Sylvain Goldberg, Serge de Poucques, Adrian Politowski, David Giordano",fr,86,5.451
7213,Drama,"Alexander Kraft-Hohenlohe, Emil Jannings, Harry Frank, Hilde von Stolz, Achim Schmidt, Harald Paulsen, Max Rosen, Hilde Weissner, Gaston Briese, Walter Werner, Walter Steinbeck, Rolf Müller, Hans Brausewetter, Bruno Fritz, Hans Joachim Schaufuß, Ernst Legal, Hans Richter, Hildegard Barko, Else Ehser, Peer Baedecker, Walter Bienenstein, Paul W. Krüger, Rudolf Klicks, Eberhard Schott, Hugo Froelich, Ernst Waldow, Karl Etlinger, Otto Stoeckel, Peter Jäger, Herbert Hübner, Hannes Stelzer, Werner Vogt, Hermann Braun, Rolf Moebius",Carl Froelich,"Robert A. Stemmle, Arno Holz",,,de,95,6
7214,Music,"Paul Baker, Lyn Paul, Euan Morton, Drew Jaymson, George O'Dowd, John Partridge, Nicola Dawn, Luke Evans",Christopher Renshaw,"Mark Davies, Boy George",Aces Wild,,en,145,6.5
7215,"Thriller, Crime, TV Movie","Elizabeth Spriggs, Andy Abrahams, Kate Lansbury, Stephen Tomlin, Freddie Jones, Eileen O'Brien, Hilary Mason, Richard Dempsey, Jeremy Brett, Anthony Price, Juliet Aubrey, Jason Hetherington, Keith Barron, Maria Redmond, Yolanda Vazquez, Roy Marsden, Peter Geddis, Edward Hardwicke, Marcello Walton, Maurice Denham, Paul Parris",Tim Sullivan,"Arthur Conan Doyle, Jeremy Paul",Granada Television,"Rebecca Eaton, Sally Head, June Wyndham-Davies",en,102,6.9
7216,Horror,"Elizabeth Vermilyea, Ryan Jennifer Jones, Joe Walz, Joy Shatz, Gore Abrams, Brian David Tracy, Gabriel Chytry, Leo DeFriend, Adam Schneider, Joe Bandelli, Sam Kazzi, Duane Cooper, Theodore Bouloukos, Jillian Geurts, Bridgid Abrams, Jared Hacker, Olivia Roldan, Danny Bellini, Scott Richey, Jordan Kaplan, Dan Dobransky",Stephen Cognetti,Stephen Cognetti,"Cognetti Films, Terror Films","Joe Dain, Joe Bandelli",en,85,5.054
7217,Comedy,"Ryo Kase, Ken Mitsuishi, Masako Motai, Satomi Kobayashi, Kento Nagayama, Kyoko Koizumi, Mikako Ichikawa",Kana Matsumoto,Kana Matsumoto,"Nippon Television Network Corporation, VAP, Paradise Cafe, Suurkiitos, Hakuhodo DY Media Partners, Yomiuri Telecasting Corporation, D.N. Dream Partners, Shasha Corporation","Seiji Okuda, Emma Maekawa, Shuichi Komuro, Kumi Kobata",ja,104,6
7218,Drama,"Nikolay Shatokhin, Svetlana Kolenda, Sergei Popov, Umirzak Shmanov, Albina Skarga, Aleksei Shevchenkov, Oleksandra Svenska, Renata Litvinova",Kira Muratova,"Yevhen Holubenko, Kira Muratova, Renata Litvinova",Nikola Film,,ru,112,3.15
7219,"Crime, Drama, Family, Romance","Kamalinee Mukherjee, Cheenu Mohan, Gajaraj, Karunakaran, Vadivukarasi, Senthil Kumaran, Vivek Prasanna, Kaali Venkat, Pooja Devariya, Radha Ravi, Bobby Simha, Rajashree, Anjali, Bagavathi Perumal, S. J. Suryah, Santhosh Narayanan, Sathya Prema, Ramachandran Durairaj, Vaibhav Reddy, Vijay Sethupathi",Karthik Subbaraj,Karthik Subbaraj,"Abi & Abi Pictures, Thirukumaran Entertainment","C. V. Kumar, K. E. Gnanavelraja",ta,153,7.177
7220,"Crime, Drama, Thriller","Sal Mineo, Robert Lynn, Kem Dibbs, Tony Curtis, George Nader, Richard Castle, Julie Adams, Kendall Clark, Jan Merlin, Harry Bartell, William Murphy, Don Keefer, Tito Vuolo, Jay C. Flippen",Joseph Pevney,"Sydney Boehm, Joseph F. Dinneen",Universal International Pictures,Aaron Rosenberg,en,96,6.2
7221,Comedy,"Aneesh Gopal, Indrans, Sabumon Abdusamad, Irshad Ali, Prajod Kalabhavan, Sruthi Jayan, Saiju Kurup, Vijay Babu, Unni Rajan P Dev, Sooraj Pops, Manikandan Pattambi, Binny Rinky Benjamin",John Manthrickal,"James Sebastian, John Manthrickal, Manu Manjith",Friday Film House Experiments,"Vijay Babu, Vinay Babu",ml,122,5
7222,"Crime, Drama, Thriller","Michael Bell, Vivian Matalon, James Maxwell, Gerda Larsen, Katherine Kath, Hildegard Knef, Albert Lieven, Cec Linder, Edward Judd, Tom Watson, Gaylord Cavallaro, Van Johnson, Carl Jaffe, Chuck Keyser, E. Kerrigan Prescott",Muriel Box,"Bruce Birch, Ian Main, Jack Andrews",Orbit Films,"Patrick Filmer-Sankey, Sydney Box, John Temple-Smith",en,87,5.5
7223,"War, Documentary","Thomas Scullion, Geoff van Rijssel, Allan Wood, Leo Genn, Stanley Maxted",Brian Desmond Hurst,Louis Golding,"Gainsborough Pictures, J. Arthur Rank Organisation",Castleton Knight,en,82,6.727
7224,"Comedy, Drama, Mystery","Barkha Singh, Flora Saini, Pradeep Bajpai, Ashwini Kalsekar, K.K. Gautam, Vijay Raaz, Liza Singh, Madhuri Bhatia, Amol Parashar, Sanjay Mishra",Ram Ramesh Sharma,"Sharad Tripathi, Subhash Ghai","Mukta Arts Ltd, Zee Studios","Subhash Ghai, Vishal Gandhi, Rahul Puri",hi,107,7
7225,Romance,"Yoo Jung, Kim Ji-ah, Min Do-yoon, Kang Min-woo",Lee Min-woo,,,,ko,70,5
7226,"Western, Romance","Bill Williams, Vito Scotti, Howard Duff, Lita Baron, Henry Calvin, Addison Richards, Douglas Fowley, Dorothy Adams",Lesley Selander,John C. Higgins,Bel-Air Productions,"Aubrey Schenck, Howard W. Koch",pt,82,6.4
7227,"Animation, Adventure, Family, Science Fiction",,Jianrong Zhuo,,,,zh,85,4
7228,"Drama, Thriller","Macha Méril, Jürgen Drews, Giorgio Maulini, Dominique Sanda, Hiram Keller",Gian Vittorio Baldi,Gian Vittorio Baldi,"Maxi Film, Victoria Films",,it,86,2
7229,Horror,"Dawan Singha-Wee, Sorachai Sang-aakaat, Nuntawat Arsirapojcharnakul, Withit Laet",Jirakitt Nakpong,Jirakitt Nakpong,Phranakorn Film,,th,85,5.2
7230,Comedy,"Sally Jessy Raphael, Bryan Larkin, Ed Begley Jr., Nitchie Barrett, Robin Leach, Mark Steiner, Doris Belack, Lori Tan Chinn, Jack Gilpin, Joe Pentangelo, Cynthia Adler, Rosanna Carter, Maria Pitillo, A Martinez, Mary Louise Wilson, Linda Hunt, Sylvia Miles, Deborah Rush, Susan Willis, Jill Tompkins, Larry Marshall, Roseanne Barr, Sally Sockwell, Elisebeth Peters, June Gable, Meryl Streep",Susan Seidelman,"Mark R. Burns, Fay Weldon, Barry Strugatz",Orion Pictures,"Susan Seidelman, Jonathan Brett",en,99,5.898
7231,Documentary,"Robert Osborne, Fleming Meeks, Guy Livingston, Michael Tilson Thomas, Anne Helen Petersen, David Hughes, Tony Rothman, Denise Loder-DeLuca, Danijela Cabric, Manya Hartmayer Breuer, Nino Amarena, Jeanine Basinger, Mel Brooks, James Loder, Richard Rhodes, Arthur McTighe, Anthony Loder, Peter Bogdanovich, Jennifer Hom, Hedy Lamarr, Wendy Colton, Lodi Loder, Diane Kruger, Roy Windham, William J. Birnes, Stephen Michael Shearer, Lisa Cassileth",Alexandra Dean,Alexandra Dean,Reframed Pictures,"Adam Haggiag, Julie Sacks, Katherine Drew, Regina K. Scully, Michael Kantor, Susan Sarandon, Alexandra Dean",en,88,6.9
7232,"Action, Adventure, Science Fiction","Kosuke Toyohara, Kiwako Harada, Megumi Odaka, Koichi Ueda, Robert Scott Field, Yasunori Yuge, Anna Nakagawa, Katsuhiko Sasaki, Yoshio Tsuchiya, Sō Yamamura, 'Hurricane Ryu' Hariken, Jun'ichi Yaoi, Wataru Fukuda, Kenpachirō Satsuma, Akiji Kobayashi, Kenji Sahara, Tokuma Nishioka",Kazuki Ōmori,Kazuki Ōmori,Toho Pictures,"Tomoyuki Tanaka, Shogo Tomiyama",ja,103,7
7233,"Drama, TV Movie","Eoin McCarthy, Conor Evans, Paul Kennedy, Cian McCormack, Cillian Caffrey, Angus MacInnes, Denis Conway, Frances Burke, Clancy Brown, Stanley Anderson, Claire Bloom, Eric Weitz, Hume Cronyn, Tayla Muldowney, Devon Murray, Jane Seymour, Peadar Lamb, Kyle Howard",Marcus Cole,"Richard Leder, Sarah Bird, Jenny Cockell","Cosgrove/Meurer Productions, World International Network (WIN), CBS","Terry Dunn Meurer, Jay Benson, John Cosgrove",en,93,7.6
7234,,"Anatoli Romashin, Sergey Garmash, Alla Demidova, Vasili Lanovoy, Andrei Tolubeyev, Sergei Artsybashev, Georgi Zhzhyonov, Vladimir Gostyukhin","Dmitriy Talankin, Igor Talankin",Игорь Таланкин,"Mosfilm, Время",Yuriy Nosikov,ru,87,6
7235,"Action, Thriller, Crime","Oliver Trevena, Bruce Willis, Kelly Greyson, Megan Leonard, Lauren McCord, Kayla Eva, Kendyll Legier, Jaime King, Michael Sirow, Tyler Jon Olson, Keagan Lasater, Lala Kent, Adam Huel Potter",Mike Burns,Bill Lawrence,"SSS Entertainment, BondIt Media Capital, Verdi Productions, River Bay Films, Buffalo 8 Productions, Dutch Filmworks, Vertical Entertainment, Youplanet Pictures, EFO Films, Falcon Films","George Furla, Randall Emmett, Chad A. Verdi, Mitch Budin, Richard Goldberg, Luillo Ruiz, Paul Luba, Gary Raskin, Peter Jarowey, Stephen J. Eads, Chad Verdi Jr., Ted Fox, Alastair Burlingham, Matthew Helderman, Austin Renfroe, Mark Stewart, Vance Owen, Tim Sullivan, Shaun S. Sanghani, Cyril Megret, Luke Taylor, Alexander Eckert, Walter Josten, Charlie Dombek, Lydia Hull",en,95,5.6
7236,Comedy,"Pierre Mondy, Colette Darfeuil, André Chanu, Jean Ozenne, Annette Poivre, Raymond Bussières, Paul Azaïs, Raymond Pierson, Édouard Francomme, Gérard Oury, Alexandre Rignault, Sophie Sel, Bernard Musson, Jean Richard, Al Cabrol, Matty Peters, Serge Nadaud, Émile Riandreys, Robert Le Fort, Roger Saget, Jean Droze, Albert Augier, Hennery, Jean-Max, François Joux, Janine Villard, Pierre Duncan",Guy Lacourt,,,,fr,83,2.5
7237,Drama,"Paul Joseph Bonnici, Meyrem Enver, Tony Fadil, Paul O'Neill, Marie Belsey, Alex Reece, David Winfield, Joe Stock, Elliot Cable",Terry Lee Coker,Bradley Coker,,,en,80,3.7
7238,,"Renée Giragos, Charles Harlan, Kris Wolff",Edward T. McDougal,Edward T. McDougal,,,en,81,3
7239,"Action, Crime, Drama","Tanikella Bharani, Vishwajeet Pradhan, Sushmita Mukherjee, Priyamani, Zarina Wahab, Anupam Shyam, Vivek Oberoi, Radhika Apte, Subhalekha Sudhakar, Kota Srinivasa Rao, Shatrughan Sinha, Sudeep, Kitty, Ajaz Khan, Suriya, Subrat Dutta",Ram Gopal Varma,"Ram Gopal Varma, Prashant Pandey","Cloud Nine Movies, Cinergy Pictures","Madhu Mantena Varma, Sheetal Vinod Talwar",hi,135,6.2
7240,"Drama, TV Movie","Aimee Darcel, Arlene Lott, Michael Carry, Amanda Stepto, Gerry Ride, Jacy Hunter, Gretchen Helbig, Kirsten Bourne, Anais Granofsky, Neil Hope, Siluck Saysanasy, Andy Chambers, Dayo Ade, Christian Campbell, Jean Walker, Karen Johnson, Stacie Mistysyn, Karryn Sheridan, Anthea Rowe, Darren Marsman, Stefan Brogren, Angela Deiseach, Al Black, Maggie Thomas, Henry Hwang, Rhys Greenaway, Maureen Burgoyne, Irene Courakos, Melissa Schwartz, Diana Bragman, George Chaker, Angela Bruce, Pat Mastroianni, Sara Holmes, Keith White, Maureen Deiseach, Tara Burt, Meita Winkler, Michele Johnson-Murray",Kit Hood,"Linda Schuyler, Yan Moore, Kit Hood",Playing With Time,"Linda Schuyler, Kit Hood",en,92,5.5
7241,Action,"Alki David, Armand Assante, Lupe Ontiveros, Billy Zane, Gary Busey, Joe Fria",Colin Campbell,Alki David,,,en,90,10
7242,"Comedy, Fantasy, Adventure, Action",,,,"Universal Pictures, Stuber Pictures",,en,102,5.318
7243,,"Michael Coleman, Joe Bill, Susan Messing, Scot Robinson, Matt Walsh, David Adler, Ken Manthey",Mick Napier,,,John Covert,en,82,3.3
7244,"Comedy, Drama, Thriller","Mamdouh Wafi, Ahmed Tawfiq, Badria Abdel Gawad, Ahmed ElBoraei, Mahmoud Al-Sabaa, Rashad Osman, Sayed Sadek, Abdel Ghani Naser, Youssef Al Assal, Raafat Raji, Hussein El Sherif, Ahmed Abu Abiya, Muhammad Mandour, Ahmed Ghanem, Abd Allah Meshref, Sayed Allam, Nagwa Fouad, Fouad Khalil, Mohamed Abu Hasheesh, Motawie Eweiss, Zizi Fared, Sabry Abdelmonem, Maaly Zayed, Angel Aram, Hanan Shawqi, Hanem Mohamed, Ahmed Zaki, Kamal ElZeiny, Olfat Sukkar, Naima ElSoghier",Ali Abdel-Khalek,Mahmoud Abu Zaid,,,ar,100,7
7245,"Comedy, Horror","Gino Marrocco, Julie Thilpot, Alan Gordon, Bonnie Neilson, Rick Maguire, Mira King, Andrea Martin, Eugene Levy, Bob McHeady, May Jarvis, Allan Price, Bunker, Ronald Ulrich, Fishka Rais, Earl Pomerantz, Randall Carpenter",Ivan Reitman,"Robert Sandler, Ivan Reitman, Daniel Goldberg","Scary Pictures Productions, American International Pictures","Ivan Reitman, Daniel Goldberg",en,84,4.435
7246,Documentary,Noam Chomsky,Will Pascoe,,,,en,74,6.692
7247,"Comedy, Drama","Ramon Bautista, John Vincent Servilla, Moi Bien, Jigger Sementilla, Noel Comia Jr., Mailes Kanapi, Agot Isidro, Jude Matthew Servilla, Cayden Williams, Elijah Alejo, Timmy Harn, Kim Chloe Oquendo, Nikki Valdez, Gym Lumbera, Lou Veloso",Raya Martin,Valerie Castillo Martinez,"IndieFlip, Black Sheep","Marizel Samson-Martinez, Olivia M. Lamasan, Valerie Castillo Martinez, Kriz Gazmen, Marjorie B. Lachica, Carlo Katigbak, Whitaker Lader",tl,99,7.4
7248,"Action, Drama","Kaikala Satyanarayana, Sumalatha, Rao Gopal Rao, Sudha, Anandaraj, Chiranjeevi, R. Sarathkumar, Murali Mohan, Vijayashanti, Allu Ramalingaiah",Vijaya Bapineedu,,,Maganti Ravindranath Chowdary,te,155,7.25
7249,"Documentary, Music, TV Movie","Sasha Obama, James Taylor, Martin Luther King III, Jennifer Nettles, Kal Penn, Renée Fleming, Herbie Hancock, Malia Ann, Pete Seeger, Jon Bon Jovi, John Legend, Usher, Stevie Wonder, Marisa Tomei, Sheryl Crow, Jack Black, Bettye LaVette, Bruce Springsteen, Beyoncé, Bono, John Mellencamp, Steve Carell, Shakira, Heather Headley, Rosario Dawson, Queen Latifah, Laura Linney, Barack Obama, Samuel L. Jackson, Ashley Judd, Josh Groban, Jamie Foxx, Garth Brooks, Will.i.am, Mary J. Blige, Denzel Washington, Tom Hanks, George Lopez, Michelle Obama",Don Mischer,"Sara Lukinson, George Stevens Jr., Michael Stevens",HBO,,en,113,2.333
7250,"Drama, Romance","Jakub Čech, Tobiáš Pěkný, Leoš Noha, Elizaveta Maximová, Stanislav Majer, Steffen Groth, Ewa Farna, Eva Sakálová, Tomáš Dalecký, Anton Petzold, Michal Sikora, Petra Bučková, Hana Bartoňová, Emilie Neumeister",Ivan Pokorný,"Iva Procházková, Barbara Johnsonová","Daniel Severa Production, Kinderfilm, Trigon Production, MDR, Česká televize, RTVS","Ivana Kurincová, Maria Vaneková, Viktor Mayer, Claudia Schröter, Daniel Severa, Veronika Trčková",de,89,3.7
7251,Drama,"Sheida Khaligh, Mohammad Reza Ghaffari, Hasti Mahdavifar, Alireza Kamali, Neda Jebraeili, Afsaneh Kamali, Rojan Taghizadeh, Hossein Mehri, Fereshteh Hosseini, Anahita Afshar",Navid Mahmoudi,Navid Mahmoudi,Aseman Parvaz Film,Jamshid Mahmoudi,fa,74,6
7252,Crime,"Albert Cavens, Richard Neill, William J. O'Brien, William Challee, Frank McLure, Jack Shea, Wilbur Mack, Gregg Barton, Robert Cornthwaite, Al Murphy, Victor Paul, William Bendix, Jack Stoney, Terry Moore, Bert Moorhouse, Eddie Fields, Colin Kenny, Chester Jones, Vera Stokes, Gloria Winters, Monty O'Grady, Tol Avery, Virginia Farmer, Carl Sklover, Edward Clark, Zachary Charles, Frank Baker, Loda Halama, Homer Dickenson, Frank Wilcox, Sherry Hall, Mike Lally, Kenner G. Kemp, Jean Ransome, Norman Field, Bert Stevens, Karl 'Killer' Davis, Clark Howat, Basil Ruysdael, Don Haggerty, Kirk Alyn, Eleanor Audley, Damian O'Flynn, Rolan Jones, Betty Underwood, Guy Zanette, Fred Aldrich, Bernard Sell, Victor Mature, Forrest Burns, Art Dupuis, Jack Kruschen, Stanley Price, Ann Doran, G. Pat Collins, Leonidas Ossetynski, William E. Green, Cleo Moore, Donald Randolph",Ted Tetzlaff,"Erwin S. Gelsey, Marvin Borowsky, Allen Rivkin",RKO Radio Pictures,"Warren Duff, Sid Rogell",en,80,6.133
7253,"Action, Comedy, Drama","Nagarjuna Akkineni, Sharat Saxena, Amala Akkineni, Subhalekha Sudhakar, Annapoorna, Murali Mohan, Sukumari, Raajivi, Giri Babu, Allu Ramalingaiah",Priyadarshan,"Ganesh Patro, Priyadarshan",,,te,170,5
7254,Documentary,"Luiz Carlos Bresser-Pereira, Fernando Henrique Cardoso, Abílio Diniz, Maílson da Nóbrega, Gustavo Franco, Guido Mantega, Antônio Delfim Netto",Renato Rossi,Tony Góes,"O2 Filmes, HBO Latin America","Roberto Rios, Bel Berlinck, Rafaella Giannini, Andrea Barata Ribeiro, Patricia Carvalho, Eduardo Zaca",pt,82,5
7255,"Comedy, Music, Romance","João Marcos de Almeida, Daniel Chaia, Hugo Villavicenzio, Antonio Velloso, Wandré Gouveia, Paulo Jordão, Thiago Ricarte, Satiko Takao, Lucélia Maquiavelli, Gilda Nomacce, Kiko Bertholini, Lilian Blanc, Beto Matos, Eduardo Gomes, Germano Melo, Luciana Paes, Luís Mármora, Augusto Pompeo, Rony Koren, Adriana Mendonça, Sergio Silva, Tony Germano, Mariza Junqueira, Sara Silveira, Amina Jorge, Rodrigo Bolzan",Juliana Rojas,Juliana Rojas,"Avoa Filmes, Filmes do Caixote",Max Eluard,pt,85,5.7
7256,"Drama, Music, TV Movie","Margaret Blye, H. Richard Greene, Jer Adrianne Lelliott, Cassidy Rae, Will Rothhaar, Stephen Lang, Venus DeMilo Thomas, Blake Heron, Chris Demetral, Cybill Shepherd, David Carpenter, Kay Lenz, Allan Kayser, Richard Herd",Karen Arthur,Dalene Young,"Hallmark Entertainment, Longbow Productions, RHI Entertainment, CBS","Bill Pace, Richard P. Kughn, Ronnie D. Clemmer, William Shippey",en,91,6.083
7257,Horror,"Hailey Kate Schmidt, Natalie Klein, Laura Goellner, Maria Kravets, Hannah Collett Schmidt, Patrick Finegan, Brandon Burkley",Matthew I. Schmidt,Matthew I. Schmidt,Acres Films,,en,81,4.4
7258,Documentary,"Lucia Rijker, Michael Bentt",Katya Bankowsky,,,Katya Bankowsky,en,72,6
7259,Documentary,"Gary Clark Jr., John Mayer, Tom Hambridge, Buddy Guy, Eric Clapton, Carlos Santana, Christone Ingram","Matt Mitchener, Charles Todd, Devin Chanda",,,"John Beug, Sheira Rees-Davies",en,90,6
7260,Comedy,"Carl Schenstrøm, Torsten Bergström, Karin Albihn, Aina Rosén, Hilding Gavle, Anna Olin, Emil Fjellström, Magnus Kesster, Harald Madsen, Gösta Gustafson",Gösta Rodin,"Gösta Rodin, Guido Valentin",Triangelfilm,,sv,82,2
7261,Romance,"Kotoe Hatsui, Atsushi Kawaguchi, Yoko Otaki, Yoshiyuki Fujie, Koshiro Asami, Yumiko Arizaki, Hiroshi Oya, Chieko Harada, Shirō Ōsaka, Taeko Hatori, Momoe Yamaguchi, Junichi Takeoka, Tokue Hanazawa, Midori Kiuchi, Keisuke Yukioka, Yoshio Yoshida, Masaru Kamiyama, Shin'ya Ohwada, Kin Sugai, Mikiko Sakai, Nobuo Nakamura, Tomokazu Miura, Ichiro Kijima, Junichi Yamanobe",Katsumi Nishikawa,Kenji Ooe,,,ja,94,6.5
7262,"Action, Drama","Christina Giordano, Molly Fahey, Alexander Hellquist, Mia Van de Water, Whitney Kimball Long, Aaron Mathias",John Sirabella,"Sean Molyneaux, Carl Morano",Fever Dreams,"Gary P. Conner, John Sirabella, Carl Morano",en,97,4
7263,Comedy,"Adolfo Martínez Jr, Alfonso Zayas, Arlette Pacheco, Lupita Sandoval, Angélica Chain, José René Ruiz 'Tun-Tun', Alfredo Solares, Yirah Aparicio, Carlos Bravo y Fernández 'Carlhillos', Hugo Stiglitz, Gerardo Zepeda, Luis de Alba",Gilberto Martínez Solares,"Adolfo Martínez Solares, Gilberto Martínez Solares",Frontera Films,,es,90,7.282
7264,"Drama, Romance","Ursula Werner, Steffi Kühnert, Horst Westphal, Horst Rehberg",Andreas Dresen,"Jörg Hauschild, Laila Stieler, Cooky Ziesche, Andreas Dresen","Peter Rommel Productions, ARTE, Senator Film, Rommel Film",Peter Rommel,de,98,5.7
7265,Documentary,,Ron Davis,Ron Davis,,,en,84,6.5
7266,"Comedy, Family","Jiří Prýmek, Vít Olmer, K. Jurkaninová, Karel Heřmánek, Viktor Král, Vanda Krňanská, Petr Rýdel, Michaela Bendová, Milan Novotný, Michael Dymek, T. Hrnčíř, Daniel Netušil, Zora Kerova, Jan Cmíral, Jan Křížek, Jiří Žák, Gabriela Osvaldová, Jiří Zahajský, Jindřich Khain, Karel Smrž, Ondřej Havelka, Oldřich Navrátil, Jan Kraus, Miroslav Vladyka, Milan Padalík, R. Martan, Jan Kreidl, Jan Kehár, Karel Augusta, Luboš Hloušek, Václav Helšus, Jiří Krytinář, Roman Čada, Jiří Lábus, Václav Lohniský, Marie Horáková",Věra Plívová-Šimková,"Petr Hapka, Jana Knitlová",Filmové studio Barrandov,,cs,72,4.3
7267,"Adventure, Crime, Romance","Fletcher Norton, Walter Hiers, Lloyd Hughes, Eddie Phillips, Burr McIntosh, Fred 'Snowflake' Toones, Marian Nixon, Theodore von Eltz, Lucille Powers",Charles Hutchison,,,,en,68,3.5
7268,"Drama, Comedy, Music, Romance","Jeff Metzler, Liz McCartney, Joey Dudding, Andre Ward, Brian Spitulnik, Steve Hayes, Brent Corrigan, Daniel Robinson","Casper Andreas, Fred M. Caruso",Fred M. Caruso,,,en,91,6.7
7269,"Horror, Thriller","Colin Prise, Nathan Rudd, Lena Roma, Jeremy Rudd, Merha Park",Devon Loerop,,"G.P.L.A., Los Angeles, Conner Mac Studios",,en,120,5
7270,Thriller,"Carter Rush Adkins, Cameron Jebo, Kaitlyn Black, Caroline Pho",Robert Malenfant,,,,en,87,4.6
7271,Horror,"Erina Ōnishi, Tōru Ōmura, Ai Kawanaka, Keisuke Urushizaki",Kanzo Matsuura,"Kanzo Matsuura, Youki Yasue",Zen Pictures,,ja,61,2
7272,"Western, Crime, Action, Adventure","Carlos Nieto, Columba Domínguez, Héctor Suárez, Armando Arriola, Carlos López Moctezuma, Roberto Meyer, Manuel Arvide, Gloria Leticia Ortiz, René Barrera, Agustín Isunza, Maricarmen Vela, Raúl Pérez Prieto, Victorio Blanco, Demetrio González, Guillermo Hernández",Jaime Salvador,"Rodolfo Rosas Priego, Jaime Salvador, José Luis Galiana",Rosas Films S.A.,Rodolfo Rosas Priego,es,85,5
7273,"Drama, Science Fiction","Ayumi Ito, Kotaro Shiga, Go Ayano, Nagisa Matsunaga, Yuiko Kariya, Rio Yamashita, Haru Kuroki, Kanji Furutachi",Gakuryu Ishii,"Hiroaki Jinno, Tomoaki Tanaka, Gakuryu Ishii","Dragon Mountain, Phantom Film",Keisuke Konishi,ja,104,5.5
7274,Documentary,Bruce Beresford,Anthony Buckley,Peter Fenton,,Anthony Buckley,en,74,4
7275,"Drama, Romance","Jang Hye-jin, Byeon Woo-seok, Kim Soo-hyung, Jeon So-nee, Ryu Ji-an, Park Seong-yeon, Oh Min-ae, Nam Yoon-su, Jeong Soo-ji, Park Choong-seon, Kang Mal-geum, Hyun Bong-sik, Lee Suk-hyeong, Heo Ji-na, Kim Da-mi, Kim Dong-hwan",Min Yong-keun,"Min Yong-keun, Kang Hyun-joo, Annie Baby","Studio & New, Climax Studios, ANDMARQ Studio, KEYEAST","Park Jun-ho, Kwon Oh-hyun, Lee Sang-mi, Jung Woo-ju, Yoon Ryeong-joo, Byun Seung-min",ko,124,7.7
7276,Documentary,,Hans Bertram,,Tobis Filmkunst,,de,90,5.4
7277,"Action, Drama, Family","Mamta Kulkarni, Jaya Prada, Mithun Chakraborty, Mohan Joshi, Shakti Kapoor, Atul Agnihotri",Partho Ghosh,,,,hi,136,10
7278,"Action, Crime, Thriller","Sisto Brunetti, Calogero Caruana, Fortunato Arena, Henry Silva, Thomas Rudy, Milena Zampana, Romano Milani, Franca Scagnetti, Rossana Canghiari, Benito Stefanelli, Claudio Nicastro, Raniero Dorascenzi, Silvia Dionisio, Rocco Oppedisano, Antonio Sabàto, Ivana Novak, Quinto Gambi, Umberto Santolamazza, Augusta Di Vincenzi, Rosario Borelli, Nicola D'Eramo, Ettore Arena, Ettore Manni, Daniele Dublino, Marcello Verziera, Roberto Alessandri, Francesco Anniballi, Mario Donatone",Michele Massimo Tarantini,"Sauro Scavolini, Franco Ferrini, Michele Massimo Tarantini, Adriano Belli","Staff, capitol international",,it,92,5.429
